question,option1,option2,option3,option4,answer
What is the capital of France?,Paris,Berlin,Madrid,Rome,1
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,2
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,4
What is the chemical symbol for water?,H2O,O2,CO2,NaCl,1
Who wrote "Romeo and Juliet"?,Mark Twain,William Shakespeare,Charles Dickens,J.K. Rowling,2
What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Endoplasmic Reticulum,3
Which gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,2
What is the tallest mountain in the world?,K2,Kangchenjunga,Lhotse,Mount Everest,4
In which year did the Titanic sink?,1912,1905,1898,1920,1
Which element has the atomic number 1?,Helium,Oxygen,Hydrogen,Carbon,3
What is the smallest prime number?,0,1,2,3,3
Which planet is closest to the sun?,Venus,Mercury,Earth,Mars,2
What is the hardest natural substance on Earth?,Gold,Diamond,Iron,Quartz,2
What is the main ingredient in guacamole?,Tomato,Avocado,Potato,Cucumber,2
Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,South Korea,2
What is the longest river in the world?,Amazon River,Nile River,Yangtze River,Mississippi River,2
What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,1
Which element has the chemical symbol 'Fe'?,Gold,Iron,Lead,Copper,2
What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Great White Shark,2
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,3
